Customer ID,Gender,Age,Age_Segment,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Population,Pop_Category,Number of Referrals,Is_Loyal_Referrer,Tenure in Months,Tenure_Segment,Offer,Phone Service,Multiple Lines,Avg Monthly Long Distance Charges,Internet Service,Internet Type,Is_Fiber,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Streaming_Count,Service_Bundle_Score,Contract,Contract_Risk,Paperless Billing,Payment Method,Is_Digital_Native,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Has_Credit_Adjustment,Revenue_Per_Month,Refund_Rate,Extra_Charges_Ratio,Est_CLTV,Is_High_Value,Customer Status,Is_Churned,Churn Category,Churn Reason,Churn_Probability,Churn_Risk_Tier
0019-EFAEP,Female,32,Adult,No,0,La Mesa,91942,32.782501,-117.01611,24005,High,0,0,72,4-6Y,Offer A,Yes,Yes,2.25,Yes,Fiber Optic,1,16.0,Yes,Yes,Yes,No,Yes,No,No,Yes,1,7,Two Year,1,Yes,Bank Withdrawal,1,101.3,7261.25,0.0,0,162.0,7423.25,0,103.10069444444444,0.0,0.02182332536288014,4587.169811320754,1,Stayed,0,Not Churned,Not Churned,0.1442051576102389,Low Risk
0019-GFNTW,Female,39,Adult,No,0,Los Olivos,93441,34.70434,-120.02609,1317,Low,0,0,56,4-6Y,No Offer,No,No,0.0,Yes,DSL,0,19.0,Yes,Yes,Yes,Yes,No,No,No,Yes,0,6,Two Year,1,No,Bank Withdrawal,0,45.05,2560.1,0.0,0,0.0,2560.1,0,45.716071428571425,0.0,0.0,2039.9999999999995,0,Stayed,0,Not Churned,Not Churned,0.008126176030238649,Low Risk
0020-INWCK,Female,58,Senior,Yes,2,Woodlake,93286,36.464635,-119.094348,8870,Medium,9,1,71,4-6Y,Offer A,Yes,Yes,27.26,Yes,Fiber Optic,1,12.0,No,Yes,Yes,No,No,Yes,Yes,Yes,2,6,Two Year,1,Yes,Credit Card,0,95.75,6849.4,0.0,0,1935.46,8784.86,0,123.73042253521128,0.0,0.22031768292266465,4335.8490566037735,1,Stayed,0,Not Churned,Not Churned,0.0036637441052388376,Low Risk
0020-JDNXP,Female,52,Senior,Yes,1,Point Reyes Station,94956,38.060264,-122.830646,1885,Low,0,0,34,2-4Y,No Offer,No,No,0.0,Yes,DSL,0,20.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,3,5,One Year,2,No,Credit Card,0,61.25,1993.2,0.0,0,0.0,1993.2,0,58.62352941176471,0.0,0.0,2773.5849056603774,0,Stayed,0,Not Churned,Not Churned,0.01743895134342617,Low Risk
0021-IKXGC,Female,72,Elder,No,0,San Marcos,92078,33.119028,-117.166036,6760,Medium,0,0,1,<6M,Offer E,Yes,Yes,7.77,Yes,Fiber Optic,1,22.0,No,No,No,No,No,No,No,Yes,0,4,One Year,2,Yes,Bank Withdrawal,1,72.1,72.1,0.0,0,7.77,79.87,0,79.87,0.0,0.09728308501314635,3264.905660377358,0,Joined,0,Not Churned,Not Churned,0.3588433110667237,Medium Risk
0022-TCJCI,Male,79,Elder,No,0,Daly City,94015,37.680844,-122.48131,63337,Very High,0,0,45,2-4Y,No Offer,Yes,No,10.67,Yes,DSL,0,17.0,Yes,No,Yes,No,No,Yes,No,Yes,1,5,One Year,2,No,Credit Card,0,62.7,2791.5,0.0,0,480.15,3271.65,0,72.70333333333333,0.0,0.14676080876621886,2839.245283018868,0,Churned,1,Dissatisfaction,Limited range of services,0.414687149826088,Medium Risk
0023-HGHWL,Male,67,Elder,No,0,Morgan Hill,95037,37.161544,-121.649371,41707,Very High,0,0,1,<6M,No Offer,No,No,0.0,Yes,Cable,0,9.0,No,No,No,No,No,No,No,Yes,0,2,Month-to-Month,3,Yes,Bank Withdrawal,1,25.1,25.1,0.0,0,0.0,25.1,0,25.1,0.0,0.0,1136.6037735849059,0,Churned,1,Competitor,Competitor made better offer,0.9949339911167986,Critical Risk
0023-UYUPN,Female,79,Elder,Yes,0,Ahwahnee,93601,37.375816,-119.739935,1968,Low,0,0,50,4-6Y,No Offer,Yes,Yes,31.43,No,No Internet,0,0.0,No,No,No,No,No,No,No,No,0,2,One Year,2,No,Bank Withdrawal,0,25.2,1306.3,0.0,0,1571.5,2877.8,0,57.556000000000004,0.0,0.5460768642713183,1141.132075471698,0,Stayed,0,Not Churned,Not Churned,0.04308224957724135,Low Risk
0023-XUOPT,Female,26,Young Adult,Yes,0,Carnelian Bay,96140,39.227434,-120.091806,1943,Low,1,0,13,1-2Y,No Offer,Yes,Yes,43.56,Yes,Fiber Optic,1,52.0,No,Yes,Yes,No,Yes,No,No,Yes,1,6,Month-to-Month,3,No,Bank Withdrawal,0,94.1,1215.6,0.0,0,566.28,1781.88,0,137.0676923076923,0.0,0.31779917839585153,4261.132075471697,1,Churned,1,Other,Don't know,0.7575068039976091,High Risk
0027-KWYKW,Female,30,Young Adult,Yes,2,Alpaugh,93201,35.869626,-119.498771,1054,Low,1,0,23,1-2Y,Offer D,Yes,Yes,34.91,Yes,Fiber Optic,1,30.0,No,No,No,No,Yes,No,No,Yes,1,4,Month-to-Month,3,Yes,Bank Withdrawal,1,83.75,1849.95,0.0,0,802.93,2652.88,0,115.34260869565217,0.0,0.3026635204004704,3792.452830188679,0,Stayed,0,Not Churned,Not Churned,0.26261664601814955,Low Risk
0030-FNXPP,Female,22,Young Adult,No,0,Keeler,93530,36.560498,-117.962461,71,Low,0,0,3,<6M,No Offer,Yes,No,3.12,No,No Internet,0,0.0,No,No,No,No,No,No,No,No,0,1,Month-to-Month,3,No,Credit Card,0,19.85,57.2,0.0,0,9.36,66.56,0,22.186666666666667,0.0,0.140625,898.867924528302,0,Joined,0,Not Churned,Not Churned,0.9001855287975294,Critical Risk
0031-PVLZI,Female,34,Adult,Yes,0,Korbel,95550,40.7666,-123.80458,155,Low,0,0,4,<6M,Offer E,Yes,No,12.43,No,No Internet,0,0.0,No,No,No,No,No,No,No,No,0,1,Month-to-Month,3,No,Credit Card,0,20.35,76.35,0.0,0,49.72,126.07,0,31.5175,0.0,0.39438407234076306,921.5094339622642,0,Churned,1,Price,Long distance charges,0.6444719146538038,High Risk
0032-PGELS,Female,37,Adult,Yes,1,Palomar Mountain,92060,33.309852,-116.823091,234,Low,1,0,1,<6M,No Offer,No,No,0.0,Yes,DSL,0,19.0,Yes,No,No,No,No,No,No,Yes,0,3,Month-to-Month,3,No,Bank Withdrawal,0,30.5,30.5,0.0,0,0.0,30.5,0,30.5,0.0,0.0,1381.132075471698,0,Churned,1,Attitude,Attitude of service provider,0.9234774861604029,Critical Risk
0036-IHMOT,Female,37,Adult,Yes,3,Parlier,93648,36.622237,-119.521126,12587,Medium,10,1,55,4-6Y,No Offer,Yes,No,35.04,Yes,Fiber Optic,1,57.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,3,5,One Year,2,Yes,Bank Withdrawal,1,103.7,5656.75,0.0,20,1927.2,7603.95,0,138.25363636363636,0.0,0.25607743343919936,4695.8490566037735,1,Stayed,0,Not Churned,Not Churned,0.0005731171989788989,Low Risk
0040-HALCW,Male,42,Adult,Yes,3,Modesto,95358,37.612612,-121.108568,30668,High,3,1,54,4-6Y,No Offer,Yes,No,19.7,No,No Internet,0,0.0,No,No,No,No,No,No,No,No,0,1,Two Year,1,No,Credit Card,0,20.4,1090.6,0.0,0,1063.8,2154.4,0,39.8962962962963,0.0,0.4937801708132194,923.7735849056603,0,Stayed,0,Not Churned,Not Churned,0.0017973420661817905,Low Risk
0042-JVWOJ,Male,64,Elder,No,0,Glen Ellen,95442,38.368744,-122.522642,4101,Medium,0,0,26,2-4Y,Offer C,Yes,No,37.7,No,No Internet,0,0.0,No,No,No,No,No,No,No,No,0,1,One Year,2,Yes,Bank Withdrawal,1,19.6,471.85,21.25,0,980.2,1430.8,0,55.03076923076923,0.014851831143416271,0.6850712887894884,887.5471698113208,0,Stayed,0,Not Churned,Not Churned,0.048467819378132264,Low Risk
0042-RLHYP,Female,47,Senior,Yes,3,Eureka,95503,40.737431,-124.108897,23570,High,5,1,69,4-6Y,No Offer,Yes,No,38.39,No,No Internet,0,0.0,No,No,No,No,No,No,No,No,0,1,Two Year,1,No,Bank Withdrawal,0,19.7,1396.9,0.0,0,2648.91,4045.81,0,58.634927536231885,0.0,0.654729213680326,892.0754716981131,0,Stayed,0,Not Churned,Not Churned,0.0,
0048-LUMLS,Male,23,Young Adult,Yes,3,Moss Beach,94038,37.515556,-122.502311,3064,Medium,1,0,37,2-4Y,Offer C,Yes,No,43.01,Yes,Fiber Optic,1,51.0,No,No,No,No,Yes,Yes,Yes,Yes,3,3,One Year,2,No,Credit Card,0,91.2,3247.55,0.0,0,1591.37,4838.92,0,130.7816216216216,0.0,0.3288688385011531,4129.811320754717,1,Stayed,0,Not Churned,Not Churned,0.09460127412420367,Low Risk
0048-PIHNL,Female,48,Senior,Yes,0,Los Angeles,90058,34.001617,-118.222274,3642,Medium,5,1,49,4-6Y,Offer B,Yes,No,49.58,No,No Internet,0,0.0,No,No,No,No,No,No,No,No,0,1,One Year,2,No,Bank Withdrawal,0,20.45,900.9,0.0,0,2429.42,3330.32,0,67.96571428571428,0.0,0.7294854548511854,926.0377358490565,0,Stayed,0,Not Churned,Not Churned,0.03328899760364237,Low Risk
0052-DCKON,Male,28,Young Adult,Yes,0,Los Angeles,90063,34.044271,-118.185237,55668,Very High,9,1,66,4-6Y,No Offer,Yes,Yes,43.77,Yes,Fiber Optic,1,41.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,8,One Year,2,No,Bank Withdrawal,0,0.0,7942.15,0.0,0,2888.82,10830.97,1,164.10560606060605,0.0,0.266718493357474,0.0,0,Stayed,0,Not Churned,Not Churned,0.0669087360870669,Low Risk
0052-YNYOT,Female,28,Young Adult,No,0,Calexico,92231,32.690654,-115.431225,27804,High,0,0,67,4-6Y,No Offer,Yes,No,23.12,No,No Internet,0,0.0,No,No,No,No,No,No,No,No,0,1,One Year,2,No,Bank Withdrawal,0,20.55,1343.4,30.53,0,1549.04,2861.91,0,42.71507462686567,0.010667700940979977,0.5412609061780419,930.5660377358491,0,Stayed,0,Not Churned,Not Churned,0.033816812536729406,Low Risk
0056-EPFBG,Male,33,Adult,Yes,1,Redding,96003,40.677649,-122.29467,41476,Very High,4,1,20,1-2Y,No Offer,No,No,0.0,Yes,Cable,0,22.0,Yes,No,Yes,Yes,No,No,No,Yes,0,5,Two Year,1,Yes,Credit Card,0,39.4,825.4,0.0,0,0.0,825.4,0,41.269999999999996,0.0,0.0,1784.1509433962262,0,Stayed,0,Not Churned,Not Churned,0.013935766729196991,Low Risk
0057-QBUQH,Female,31,Adult,No,3,San Martin,95046,37.084697,-121.606417,5671,Medium,0,0,43,2-4Y,No Offer,Yes,Yes,30.64,No,No Internet,0,0.0,No,No,No,No,No,No,No,No,0,2,Two Year,1,Yes,Bank Withdrawal,1,25.1,1070.15,0.0,0,1317.52,2387.67,0,55.52720930232558,0.0,0.5518015471149698,1136.6037735849059,0,Stayed,0,Not Churned,Not Churned,0.007176097855853786,Low Risk
0058-EVZWM,Female,37,Adult,Yes,0,Stockton,95209,38.044523,-121.348048,30814,High,2,0,55,4-6Y,Offer B,Yes,Yes,5.08,Yes,Fiber Optic,1,9.0,Yes,No,No,No,Yes,No,No,Yes,1,5,Month-to-Month,3,Yes,Bank Withdrawal,1,89.8,4959.6,0.0,0,279.4,5239.0,0,95.25454545454545,0.0,0.05333078831838137,4066.415094339622,1,Stayed,0,Not Churned,Not Churned,0.47917432539524024,Medium Risk
0060-FUALY,Female,60,Senior,Yes,0,Los Angeles,90003,33.964131,-118.272783,58198,Very High,4,1,59,4-6Y,Offer B,Yes,Yes,16.39,Yes,Fiber Optic,1,14.0,Yes,Yes,No,No,Yes,No,No,Yes,1,6,Month-to-Month,3,Yes,Bank Withdrawal,1,94.75,5597.65,0.0,0,967.01,6564.66,0,111.26542372881356,0.0,0.14730542023501597,4290.566037735849,1,Stayed,0,Not Churned,Not Churned,0.2943760715623281,Low Risk
0064-SUDOG,Female,48,Senior,Yes,3,Huntington Park,90255,33.97803,-118.217141,78114,Very High,3,1,12,6-12M,No Offer,Yes,No,19.28,No,No Internet,0,0.0,No,No,No,No,No,No,No,No,0,1,Two Year,1,No,Bank Withdrawal,0,20.3,224.5,0.0,0,231.36,455.86,0,37.98833333333334,0.0,0.5075242398982144,919.245283018868,0,Stayed,0,Not Churned,Not Churned,0.0247216842619605,Low Risk
0064-YIJGF,Male,60,Senior,Yes,3,Yermo,92398,35.013299,-116.834092,1195,Low,7,1,27,2-4Y,Offer C,Yes,Yes,25.26,Yes,Fiber Optic,1,23.0,No,No,No,No,No,No,No,Yes,0,4,Month-to-Month,3,Yes,Bank Withdrawal,1,75.75,1929.0,0.0,0,682.02,2611.02,0,96.70444444444445,0.0,0.2612082634372774,3430.188679245283,0,Stayed,0,Not Churned,Not Churned,0.042916454379557975,Low Risk
0067-DKWBL,Male,69,Elder,No,0,San Diego,92129,32.961064,-117.134917,47224,Very High,0,0,2,<6M,No Offer,Yes,No,43.99,Yes,DSL,0,27.0,Yes,No,No,No,No,No,No,Yes,0,4,Month-to-Month,3,Yes,Bank Withdrawal,1,49.25,91.1,0.0,0,87.98,179.08,0,89.54,0.0,0.49128880947062764,2230.188679245283,0,Churned,1,Competitor,Competitor made better offer,0.9774588311129281,Critical Risk
0068-FIGTF,Female,20,Young Adult,No,0,Fremont,94539,37.516791,-121.899117,46917,Very High,0,0,27,2-4Y,Offer C,Yes,No,48.91,Yes,DSL,0,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,6,One Year,2,No,Credit Card,0,78.2,2078.95,0.0,0,1320.57,3399.52,0,125.90814814814814,0.0,0.3884577822751447,3541.1320754716985,0,Stayed,0,Not Churned,Not Churned,0.1856410620989115,Low Risk
0071-NDAFP,Male,31,Adult,Yes,3,Santa Rosa,95405,38.439696,-122.668817,22250,High,1,0,25,2-4Y,No Offer,Yes,Yes,23.69,No,No Internet,0,0.0,No,No,No,No,No,No,No,No,0,2,Two Year,1,No,Credit Card,0,25.5,630.6,44.42,0,592.25,1178.43,0,47.1372,0.037694220276130105,0.5025754605704199,1154.7169811320755,0,Stayed,0,Not Churned,Not Churned,0.05216182091587074,Low Risk
0074-HDKDG,Male,46,Senior,Yes,0,San Jose,95126,37.327069,-121.916819,27023,High,5,1,25,2-4Y,No Offer,Yes,No,6.45,Yes,Cable,0,19.0,Yes,Yes,Yes,No,No,No,No,Yes,0,6,One Year,2,Yes,Bank Withdrawal,1,61.6,1611.0,44.9,0,161.25,1727.35,0,69.094,0.02599357397169074,0.09335108692505863,2789.433962264151,0,Stayed,0,Not Churned,Not Churned,0.049565614643066164,Low Risk
0076-LVEPS,Male,57,Senior,No,1,Tujunga,91042,34.296574,-118.244839,26753,High,0,0,29,2-4Y,No Offer,No,No,0.0,Yes,DSL,0,21.0,Yes,Yes,Yes,Yes,No,No,No,Yes,0,6,Month-to-Month,3,Yes,Credit Card,0,45.0,1242.45,12.26,0,0.0,1230.19,0,42.420344827586206,0.009965940220616327,0.0,2037.7358490566037,0,Stayed,0,Not Churned,Not Churned,0.2804193285340046,Low Risk
0078-XZMHT,Male,19,Young Adult,Yes,0,Visalia,93291,36.391777,-119.372842,36718,Very High,5,1,72,4-6Y,No Offer,Yes,Yes,32.36,Yes,DSL,0,52.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,7,Two Year,1,Yes,Bank Withdrawal,1,85.15,6316.2,0.0,0,2329.92,8646.12,0,120.08500000000001,0.0,0.2694757879835117,3855.8490566037735,0,Stayed,0,Not Churned,Not Churned,0.013849850806592855,Low Risk
0080-EMYVY,Female,64,Elder,No,0,Lodi,95240,38.123544,-121.159078,45755,Very High,0,0,14,1-2Y,No Offer,Yes,No,24.04,Yes,Cable,0,12.0,No,Yes,No,No,No,No,No,Yes,0,4,One Year,2,No,Credit Card,0,51.45,727.85,0.0,0,336.56,1064.41,0,76.02928571428572,0.0,0.31619394782085847,2329.811320754717,0,Stayed,0,Not Churned,Not Churned,0.07630915337282107,Low Risk
0080-OROZO,Female,38,Adult,No,0,El Portal,95318,37.654551,-119.822984,579,Low,0,0,35,2-4Y,Offer C,Yes,No,36.42,Yes,Fiber Optic,1,2.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,3,5,One Year,2,Yes,Bank Withdrawal,1,99.25,3532.0,0.0,0,1274.7,4806.7,0,137.3342857142857,0.0,0.2651923356980881,4494.339622641509,1,Stayed,0,Not Churned,Not Churned,0.2845602857291494,Low Risk
0082-LDZUE,Male,54,Senior,No,0,Calistoga,94515,38.629618,-122.593216,7384,Medium,0,0,1,<6M,Offer E,Yes,No,42.95,Yes,DSL,0,9.0,No,No,No,No,No,No,No,Yes,0,3,Month-to-Month,3,Yes,Credit Card,0,44.3,44.3,0.0,0,42.95,87.25,0,87.25,0.0,0.4922636103151863,2006.0377358490562,0,Joined,0,Not Churned,Not Churned,0.9987446142380751,Critical Risk
0082-OQIQY,Male,50,Senior,No,0,Farmington,95230,37.956963,-120.863055,596,Low,0,0,29,2-4Y,No Offer,Yes,No,2.05,Yes,Fiber Optic,1,17.0,No,No,No,Yes,Yes,Yes,Yes,No,3,3,Month-to-Month,3,Yes,Bank Withdrawal,1,94.2,2607.6,0.0,20,59.45,2687.05,0,92.65689655172415,0.0,0.029567741575333543,4265.660377358491,1,Stayed,0,Not Churned,Not Churned,0.5642332370148009,Medium Risk
0083-PIVIK,Male,25,Young Adult,No,0,Tulelake,96134,41.813521,-121.492666,2595,Medium,0,0,64,4-6Y,No Offer,Yes,Yes,5.49,Yes,DSL,0,69.0,Yes,Yes,Yes,Yes,Yes,No,No,No,1,7,One Year,2,No,Bank Withdrawal,0,81.25,5567.55,0.0,40,351.36,5958.91,0,93.10796875,0.0,0.06567644082558724,3679.2452830188677,0,Stayed,0,Not Churned,Not Churned,0.11450788086759076,Low Risk
0089-IIQKO,Female,35,Adult,Yes,3,Coleville,96107,38.42528,-119.475741,1332,Low,1,0,39,2-4Y,No Offer,Yes,Yes,24.38,Yes,Fiber Optic,1,53.0,No,No,No,Yes,Yes,Yes,Yes,Yes,3,5,Month-to-Month,3,Yes,Credit Card,0,99.95,3767.4,0.0,0,950.82,4718.22,0,120.98,0.0,0.20152091254752852,4526.037735849057,1,Stayed,0,Not Churned,Not Churned,0.23190398549289273,Low Risk
0093-EXYQL,Female,72,Elder,No,0,Ojai,93023,34.581308,-118.931948,21633,High,0,0,40,2-4Y,No Offer,Yes,No,44.14,Yes,Fiber Optic,1,23.0,No,No,No,No,Yes,Yes,No,Yes,2,3,Two Year,1,Yes,Bank Withdrawal,1,91.55,3673.6,0.0,0,1765.6,5439.2,0,135.98,0.0,0.32460655978820413,4145.66037735849,1,Stayed,0,Not Churned,Not Churned,0.07600090250407772,Low Risk
0093-XWZFY,Male,51,Senior,No,0,Desert Hot Springs,92241,33.832799,-116.250973,5529,Medium,0,0,40,2-4Y,No Offer,Yes,Yes,37.69,Yes,Fiber Optic,1,15.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,3,6,Month-to-Month,3,Yes,Credit Card,0,104.5,4036.85,0.0,0,1507.6,5544.45,0,138.61124999999998,0.0,0.27191155119083044,4732.075471698113,1,Churned,1,Competitor,Competitor had better devices,0.718499119303742,High Risk
0094-OIFMO,Female,78,Elder,No,1,North Hollywood,91605,34.207295,-118.400022,57146,Very High,0,0,11,6-12M,Offer D,Yes,No,11.59,Yes,Fiber Optic,1,29.0,No,Yes,No,No,Yes,Yes,No,No,2,3,Month-to-Month,3,Yes,Bank Withdrawal,1,95.0,1120.3,0.0,120,127.49,1367.79,0,124.34454545454545,0.0,0.18094151880040066,4301.88679245283,1,Churned,1,Dissatisfaction,Product dissatisfaction,0.8848912325011342,Critical Risk
0096-BXERS,Female,30,Young Adult,Yes,0,Inverness,94937,38.099323,-122.945723,1004,Low,10,1,6,<6M,Offer E,Yes,Yes,42.66,Yes,Cable,0,85.0,No,No,No,No,No,No,No,Yes,0,4,Month-to-Month,3,No,Bank Withdrawal,0,50.35,314.55,0.0,0,255.96,570.51,0,95.085,0.0,0.4486512068149551,2280.0,0,Stayed,0,Not Churned,Not Churned,0.18637909785744408,Low Risk
0096-FCPUF,Male,58,Senior,No,0,Santa Rosa,95404,38.526941,-122.709096,35057,High,0,0,30,2-4Y,No Offer,Yes,Yes,2.64,Yes,DSL,0,15.0,Yes,No,No,No,No,Yes,Yes,Yes,2,5,Month-to-Month,3,Yes,Mailed Check,0,64.5,1888.45,0.0,0,79.2,1967.65,0,65.58833333333334,0.0,0.040251060910222854,2920.754716981132,0,Stayed,0,Not Churned,Not Churned,0.30038914898995145,Medium Risk
